Id,SalePrice
1461,121519.7173331714
1462,159577.67531034042
1463,181959.2805421134
1464,194046.8591772169
1465,197384.66415631527
1466,165844.2766487692
1467,171107.54207056804
1468,160182.00941284775
1469,185772.70440076533
1470,121512.9808800512
1471,189059.72663494785
1472,94488.16666630282
1473,92986.53193034681
1474,145680.0348358665
1475,116834.74795376613
1476,370957.6971893958
1477,255850.88391329782
1478,303151.43302583235
1479,297672.6330930701
1480,460556.0986051333
1481,334877.4391107162
1482,219033.6818652053
1483,176340.66599856433
1484,169443.74678510998
1485,184704.88636869914
1486,193440.96904547664
1487,324500.2771281571
1488,226003.08320943516
1489,201005.73133631732
1490,230608.05975288173
1491,194835.74857726673
1492,93236.00198329453
1493,187314.76224432414
1494,300227.16474638064
1495,292262.99269147974
1496,242889.22886083854
1497,176612.23835782876
1498,167083.91107669348
1499,160785.99280902222
1500,152196.34162342997
1501,174184.21478799265
1502,143081.8096531232
1503,293627.55488976947
1504,243893.63849689616
1505,228076.27516029944
1506,182997.09983365273
1507,233830.58106551418
1508,198767.1061207309
1509,165870.48083589092
1510,141465.63596515218
1511,145874.03132286985
1512,170796.34382825042
1513,140697.62444867715
1514,141840.829338839
1515,199087.09204122765
1516,165804.94969886958
1517,163571.7531076154
1518,135289.8808485872
1519,211628.03512528507
1520,130030.65526749329
1521,134587.17709518003
1522,165195.8881618907
1523,111359.4588587612
1524,125477.4761025534
1525,124864.81900232396
1526,111854.406544991
1527,102303.73113715352
1528,137079.65214380296
1529,154143.2679605486
1530,174856.6993233793
1531,100250.47621228755
1532,97964.4065378973
1533,151637.30183541542
1534,118732.2270195114
1535,158685.09243756504
1536,112912.05784149992
1537,61915.210524533664
1538,149905.42543530496
1539,193986.48549647836
1540,93526.34680016835
1541,136024.66093523923
1542,143357.50569412851
1543,204277.27850014973
1544,86965.00172827745
1545,108660.25000125579
1546,133162.7655247584
1547,132898.21100957075
1548,136556.7656291471
1549,121303.60796701751
1550,140429.08787952212
1551,111283.33468103899
1552,130566.94893823756
1553,140868.5489647996
1554,111427.29624316032
1555,173163.7619841967
1556,83242.31725312542
1557,103199.70755024001
1558,93536.35399984337
1559,60355.80553830022
1560,152442.2463663945
1561,122985.56216365127
1562,126077.54456662644
1563,117741.14084172314
1564,155793.92911338137
1565,149361.86472191603
1566,242675.4893677069
1567,72778.75068172051
1568,237178.93757715402
1569,129175.19476809437
1570,138781.7575240474
1571,131350.41641918969
1572,143565.5383081191
1573,251852.49109364208
1574,123234.13355577974
1575,222187.6127135003
1576,240212.64769231217
1577,189695.90001398412
1578,130463.74015203348
1579,145122.00732847123
1580,193453.7140372615
1581,150990.65406589018
1582,124594.26398396939
1583,299587.7220977498
1584,219155.875714866
1585,140257.6689032002
1586,62642.80975409155
1587,102267.55275653188
1588,157548.4232414749
1589,89523.06272527801
1590,134144.2682823312
1591,95077.1392413352
1592,112266.59170657149
1593,116874.04998491419
1594,116083.20343812568
1595,113355.14303146114
1596,218679.68117197472
1597,187183.4380406265
1598,221312.8458102269
1599,180869.52847129258
1600,178115.77267522833
1601,67832.39559846433
1602,108225.21050801408
1603,71268.68491471163
1604,270936.1023239417
1605,244394.83321902476
1606,168471.12830909318
1607,164451.55178983792
1608,213498.8456699982
1609,184348.37074788506
1610,150005.11285835167
1611,139381.47010628923
1612,170855.08917409505
1613,160524.14617096027
1614,122549.34914356512
1615,87778.79194032532
1616,71085.96800311623
1617,87448.878541084
1618,121590.43742127805
1619,139290.25169986306
1620,148235.44951489975
1621,134737.59913637943
1622,140285.27232871315
1623,254829.1379033632
1624,214874.1350241925
1625,119304.27136150515
1626,165210.5856636916
1627,189736.8908436374
1628,278608.78709723824
1629,181195.01823461422
1630,377772.8283532148
1631,227126.83408966975
1632,252543.36688746582
1633,170586.88887097914
1634,185192.94242259144
1635,175938.92256611426
1636,150247.64760852314
1637,180820.7625912435
1638,195124.8660119652
1639,179075.430647551
1640,263886.90824365045
1641,176169.8883741418
1642,238265.16495704316
1643,229840.38187019594
1644,244342.38910426875
1645,196021.32446347646
1646,155839.70499056406
1647,159735.47356364425
1648,129258.48149105272
1649,137487.74138386027
1650,110027.18247456235
1651,119600.85496395415
1652,94660.39369611586
1653,95457.70672071699
1654,145597.4711543665
1655,145403.11187829412
1656,143606.10228098222
1657,147658.63143224214
1658,149255.86374825262
1659,123784.5756709513
1660,152700.47902797916
1661,446690.8116420951
1662,398258.6562389765
1663,374012.16848675464
1664,488334.4067011839
1665,306596.68571746664
1666,323251.3736014709
1667,370100.3647083949
1668,335694.4962915009
1669,310201.51555735135
1670,359650.55965057877
1671,260651.3506284198
1672,417899.20761858777
1673,302424.85821444885
1674,241143.220801201
1675,203116.81983044115
1676,198837.19404598983
1677,220185.7090009577
1678,446985.49109781143
1679,384766.86161949777
